Timestamp,Precision,Prune Rate,Params(M),FLOPs(G),FPS_App,Latency(ms)_App
2025-12-11 17:33:59,fp32_Base,0.0,2.964,0.476,0.00,0.00
2025-12-11 17:33:59,fp32_Base,0.3,2.964,0.476,0.00,0.00
2025-12-11 17:33:59,fp32_Base,0.5,2.964,0.476,0.00,0.00
2025-12-11 17:33:59,fp32_Base,0.7,2.964,0.476,0.00,0.00
